45.507,54.271,45.547
788.08,792.67,788.14
703.95,710.24,703.76
230.1,233.99,229.92
520.71,526.16,520.95
232.23,241.49,232.15
238.29,246.11,238.13
420.38,424.8,420.77
34.881,43.53,34.88
166.75,168.18,166.7
142.48,149.5,142.74
285.28,285.02,285.01
373.87,374.79,373.91
282.36,291.56,282.25
355.17,357.77,355.43
264.44,271.93,263.92
131.72,135.43,132.03
459.56,460.07,459.31
172.23,179.9,172.45
66.577,75.269,66.382
640.77,647.56,640.92
426.56,436.04,426.92
177.2,182.3,177.34
108.24,116.98,108.33
705.02,709.76,705.23
733.3,738.96,733.54
533.56,538.28,533.42
253.25,258.67,253.22
520.52,529.55,520.62
353.22,354.93,353.24
1029,1037.5,1028.9
901.7,909,901.61
47.845,49.139,47.838
148.49,155.32,148.61
903.62,907.85,903.57
418.76,421.7,419
423.93,430.5,424.45
142.25,147.93,142.31
909.66,915.28,909.59
205.27,210,205.5
361.16,369.62,361.93
597.8,602.79,597.75
54.641,57.306,54.626
525.68,531.85,525.91
244.82,249.02,244.8
97.893,104.2,97.911
224.5,229.47,224.86
748.07,752.78,747.83
71.334,76.481,71.399
1007.3,1015.7,1007
332.2,337.55,331.93
903.44,906.96,903.69
73.595,82.114,73.569
114.55,121.3,115.01
79.772,82.366,79.777
126.42,131.22,126.43
857.33,866.12,857.43
812.72,812.85,812.72
47.084,55.732,47.091
378.51,379.13,378.52
137.99,139.87,138.39
561.59,569.34,562.09
257.95,266.72,257.77
484.19,489.47,483.99
135.73,136.58,136.02
143.38,152.7,143.51
552.82,562.18,552.32
177.8,184.4,177.94
417.14,422.92,417.18
222.51,226.22,222.49
397.57,407.49,397.88
199.78,202.59,199.9
256.27,264.68,256.27
250.49,257.75,250.43
219.32,223.83,219.03
51.077,55.001,51.03
205.23,210.09,205.25
258.22,260.93,258.12
47.091,47.488,47.115
97.462,106.45,97.427
613.42,621.42,612.79
137.82,142.86,137.86
70.77,74.856,70.78
64.098,65.683,64.168
154.57,158.07,154.71
58.169,64.281,58.215
280.74,289.19,281.28
30.963,31.071,30.946
63.17,66.272,63.206
406.46,415.15,406.44
201.34,210.45,201.09
631.06,641.13,631.21
455.3,456.73,455.48
716.79,719.46,716.74
115.14,118.02,115.32
182.53,183.33,182.69
57.186,61.225,57.305
53.687,55.018,53.621
862.38,868.32,862.15
275.12,284.42,274.89
108.57,117.43,108.46
251.79,258.11,252.03
917.46,924.08,918.37
147.87,152.2,148.23
1039.3,1048.2,1039.1
69.024,78.069,68.97
255.53,262.93,255.62
322.56,325.94,322.41
200.05,207.48,199.86
